i,j,x,r,B_x,B_r,rAp,Bmag,Jmag,zero
1,1,0.0001,0.0001,0.03733421,-0.00000267,0,0.03733421,0,0
1,2,0.0001,0.0003,0.03735314,-0.0000088,0.00000001,0.037353141,0,0
1,3,0.0001,0.0005,0.03739127,-0.00002081,0.00000003,0.037391276,0,0
1,4,0.0001,0.0007,0.037449,-0.00003492,0.00000006,0.037449016,0,0
1,5,0.0001,0.0009,0.03751891,-0.0000544,0.0000001,0.037518949,0,0
1,6,0.0001,0.0011,0.03760336,-0.00008238,0.00000014,0.03760345,0,0
1,7,0.0001,0.0013,0.03770993,-0.00011336,0.0000002,0.0377101,0,0
1,8,0.0001,0.0015,0.03782964,-0.00015161,0.00000027,0.037829944,0,0
1,9,0.0001,0.0017,0.03795886,-0.0001985,0.00000034,0.037959379,0,0
1,10,0.0001,0.0019,0.03810911,-0.00026194,0.00000043,0.03811001,0,0
1,11,0.0001,0.0021,0.03826922,-0.00032684,0.00000052,0.038270616,0,0
1,12,0.0001,0.0023,0.03842346,-0.00040043,0.00000063,0.038425546,0,0
1,13,0.0001,0.0025,0.03859522,-0.00052908,0.00000075,0.038598846,0,0
1,14,0.0001,0.0027,0.03879611,-0.0006524,0.00000087,0.038801595,0,0
1,15,0.0001,0.0029,0.03896276,-0.00076528,0.00000101,0.038970275,0,0
1,16,0.0001,0.0031,0.03914117,-0.00088306,0.00000116,0.03915113,0,0
1,17,0.0001,0.0033,0.03933587,-0.00101054,0.00000132,0.039348848,0,0
1,18,0.0001,0.0035,0.03951118,-0.00113685,0.00000148,0.039527532,0,0
1,19,0.0001,0.0037,0.03968646,-0.00129342,0.00000166,0.039707531,0,0
1,20,0.0001,0.0039,0.03986169,-0.00148694,0.00000185,0.039889414,0,0
1,21,0.0001,0.0041,0.04003691,-0.00168045,0.00000206,0.040072161,0,0
1,22,0.0001,0.0043,0.04021214,-0.00187397,0.00000227,0.040255782,0,0
1,23,0.0001,0.0045,0.04038886,-0.00206919,0.00000249,0.040441829,0,0
1,24,0.0001,0.0047,0.04061044,-0.00231961,0.00000272,0.040676632,0,0
1,25,0.0001,0.0049,0.04083202,-0.00257003,0.00000297,0.040912821,0,0
1,26,0.0001,0.0051,0.04107622,-0.00281281,0.00000322,0.041172415,0,0
1,27,0.0001,0.0053,0.04134467,-0.00304741,0.00000349,0.041456826,0,0
1,28,0.0001,0.0055,0.04161067,-0.00328081,0.00000377,0.041739808,0,0
1,29,0.0001,0.0057,0.04184181,-0.00349715,0.00000407,0.041987702,0,0
1,30,0.0001,0.0059,0.04207295,-0.00371349,0.00000439,0.042236514,0,0
1,31,0.0001,0.0061,0.04226959,-0.00394817,0.0000047,0.042453578,0,0
1,32,0.0001,0.0063,0.04237955,-0.00422891,0.00000503,0.042590022,0,0
1,33,0.0001,0.0065,0.04248951,-0.00450965,0.00000536,0.042728157,0,0
1,34,0.0001,0.0067,0.04259947,-0.00479039,0.0000057,0.042867968,0,0
1,35,0.0001,0.0069,0.04279759,-0.00499329,0.00000608,0.043087895,0,0
1,36,0.0001,0.0071,0.04301437,-0.00517973,0.00000646,0.043325115,0,0
1,37,0.0001,0.0073,0.04322256,-0.00549123,0.00000686,0.043569982,0,0
1,38,0.0001,0.0075,0.0434292,-0.00582536,0.00000727,0.04381815,0,0
1,39,0.0001,0.0077,0.04363584,-0.00615949,0.00000769,0.044068422,0,0
1,40,0.0001,0.0079,0.04384248,-0.00649362,0.00000812,0.044320764,0,0
1,41,0.0001,0.0081,0.04403453,-0.00680005,0.00000856,0.044556487,0,0
1,42,0.0001,0.0083,0.04421894,-0.00709198,0.000009,0.044784047,0,0
1,43,0.0001,0.0085,0.04440335,-0.00738391,0.00000945,0.045013105,0,0
1,44,0.0001,0.0087,0.04450815,-0.00775256,0.00000992,0.045178287,0,0
1,45,0.0001,0.0089,0.04457437,-0.00815838,0.00001041,0.045314828,0,0
1,46,0.0001,0.0091,0.04471687,-0.00859779,0.00001092,0.045535925,0,0
1,47,0.0001,0.0093,0.04487524,-0.0090442,0.00001145,0.045777557,0,0
1,48,0.0001,0.0095,0.0450336,-0.0094906,0.00001198,0.046022784,0,0
1,49,0.0001,0.0097,0.04523442,-0.009954,0.00001253,0.04631668,0,0
1,50,0.0001,0.0099,0.04554107,-0.01045976,0.00001309,0.046726819,0,0
1,51,0.0001,0.0101,0.04584772,-0.01096552,0.00001366,0.047140811,0,0
1,52,0.0001,0.0103,0.04615436,-0.01147127,0.00001425,0.047558543,0,0
1,53,0.0001,0.0105,0.04646101,-0.01197703,0.00001484,0.047979941,0,0
1,54,0.0001,0.0107,0.04678177,-0.01246021,0.00001546,0.048412714,0,0
1,55,0.0001,0.0109,0.04714621,-0.01287349,0.0000161,0.048872199,0,0
1,56,0.0001,0.0111,0.04754863,-0.01357049,0.0000168,0.049447249,0,0
1,57,0.0001,0.0113,0.04769722,-0.0142114,0.00001746,0.049769355,0,0
1,58,0.0001,0.0115,0.04784581,-0.01485231,0.00001813,0.05009803,0,0
1,59,0.0001,0.0117,0.04799439,-0.01549322,0.00001881,0.050433137,0,0
1,60,0.0001,0.0119,0.04814298,-0.01613413,0.00001951,0.050774567,0,0
1,61,0.0001,0.0121,0.04829157,-0.01677504,0.00002021,0.051122184,0,0
1,62,0.0001,0.0123,0.04865452,-0.01776526,0.000021,0.051796397,0,0
1,63,0.0001,0.0125,0.04905677,-0.01881953,0.00002183,0.052542758,0,0
1,64,0.0001,0.0127,0.04938954,-0.01984527,0.00002264,0.05322745,0,0
1,65,0.0001,0.0129,0.04926055,-0.02068143,0.00002337,0.053425868,0,0
1,66,0.0001,0.0131,0.04913156,-0.02151759,0.00002411,0.053636898,0,0
1,67,0.0001,0.0133,0.04900257,-0.02235375,0.00002486,0.053860394,0,0
1,68,0.0001,0.0135,0.04879083,-0.02340113,0.00002568,0.054112457,0,0
1,69,0.0001,0.0137,0.04851088,-0.02462259,0.00002657,0.054401998,0,0
1,70,0.0001,0.0139,0.04823094,-0.02584405,0.00002748,0.054718722,0,0
2,1,0.0003,0.0001,0.03732134,0.00000836,0,0.037321341,0,0
2,2,0.0003,0.0003,0.03734799,0.00002002,0.00000001,0.037347995,0,0
2,3,0.0003,0.0005,0.03738946,0.00003063,0.00000003,0.037389473,0,0
2,4,0.0003,0.0007,0.03745674,0.00003274,0.00000006,0.037456754,0,0
2,5,0.0003,0.0009,0.03753914,0.00002687,0.0000001,0.03753915,0,0
2,6,0.0003,0.0011,0.03762728,0.00001824,0.00000014,0.037627284,0,0
2,7,0.0003,0.0013,0.03773652,-0.00000287,0.0000002,0.03773652,0,0
2,8,0.0003,0.0015,0.03787806,-0.00001835,0.00000027,0.037878064,0,0
2,9,0.0003,0.0017,0.03802267,-0.0000635,0.00000034,0.038022723,0,0
2,10,0.0003,0.0019,0.03817471,-0.00010261,0.00000043,0.038174848,0,0
2,11,0.0003,0.0021,0.03836065,-0.00014521,0.00000052,0.038360925,0,0
2,12,0.0003,0.0023,0.03855141,-0.00023869,0.00000063,0.038552149,0,0
2,13,0.0003,0.0025,0.03873653,-0.00032944,0.00000075,0.038737931,0,0
2,14,0.0003,0.0027,0.03895873,-0.00042233,0.00000087,0.038961019,0,0
2,15,0.0003,0.0029,0.03914782,-0.00055038,0.00000101,0.039151689,0,0
2,16,0.0003,0.0031,0.03934198,-0.00067324,0.00000116,0.03934774,0,0
2,17,0.0003,0.0033,0.03955154,-0.00080163,0.00000132,0.039559663,0,0
2,18,0.0003,0.0035,0.03975473,-0.00092963,0.00000149,0.039765598,0,0
2,19,0.0003,0.0037,0.03993,-0.00109036,0.00000167,0.039944884,0,0
2,20,0.0003,0.0039,0.04010556,-0.00128386,0.00000186,0.040126104,0,0
2,21,0.0003,0.0041,0.04030871,-0.00147638,0.00000206,0.040335738,0,0
2,22,0.0003,0.0043,0.04051186,-0.0016689,0.00000227,0.040546221,0,0
2,23,0.0003,0.0045,0.04072672,-0.001902,0.0000025,0.040771109,0,0
2,24,0.0003,0.0047,0.04095542,-0.00218088,0.00000274,0.041013445,0,0
2,25,0.0003,0.0049,0.041177,-0.0024313,0.00000298,0.041248716,0,0
2,26,0.0003,0.0051,0.04142545,-0.00267265,0.00000324,0.041511576,0,0
2,27,0.0003,0.0053,0.0416939,-0.00290725,0.00000351,0.041795136,0,0
2,28,0.0003,0.0055,0.04192968,-0.00312586,0.0000038,0.042046035,0,0
